rank,name,scores_overall,scores_teaching,scores_research,scores_citations,scores_industry_income,scores_international_outlook
401–500,Cankaya University,38.8–42.3,14.9,11.4,99.7,34.9,43.2
401–500,Sabancı University,38.8–42.3,27.8,35.3,55.8,65.4,52.0
501–600,Bilkent University,35.3–38.7,24.5,24.7,53.1,55.1,62.8
501–600,Hacettepe University,35.3–38.7,28.4,13.1,70.5,37.5,25.0
501–600,Koç University,35.3–38.7,26.9,34.4,49.2,60.2,49.7
601–800,Boğaziçi University,28.3–35.2,23.2,21.2,49.4,50.8,41.8
601–800,Istanbul Technical University,28.3–35.2,25.2,28.0,30.2,100.0,26.8
601–800,Middle East Technical University,28.3–35.2,28.7,23.2,30.7,62.1,30.4
801–1000,Atılım University,22.2–28.2,14.7,8.8,39.2,37.0,35.3
801–1000,Istanbul University,22.2–28.2,25.8,24.4,23.6,49.8,27.1
801–1000,Karabük University,22.2–28.2,18.3,7.6,39.2,34.4,30.6
1001+,Acıbadem University,10.7–22.1,22.0,8.6,7.5,34.8,19.8
1001+,Akdeniz University,10.7–22.1,15.2,9.0,13.9,35.2,17.2
1001+,Anadolu University,10.7–22.1,13.0,24.1,16.5,100.0,17.3
1001+,Ankara University,10.7–22.1,19.2,10.0,13.9,35.1,22.5
1001+,Bahçeşehir University,10.7–22.1,18.5,14.8,14.7,53.7,40.8
1001+,Başkent University,10.7–22.1,21.4,10.9,4.8,40.1,14.2
1001+,Cukurova University,10.7–22.1,15.2,12.5,15.6,87.5,19.4
1001+,Dokuz Eylül University,10.7–22.1,15.1,9.5,19.7,40.7,18.4
1001+,Ege University,10.7–22.1,17.2,10.2,13.5,37.9,22.1
1001+,Erciyes University,10.7–22.1,19.7,16.3,20.6,84.4,21.5
1001+,Gazi University,10.7–22.1,18.8,10.6,13.2,40.5,16.6
1001+,Gaziantep University,10.7–22.1,17.3,9.0,15.6,34.7,23.8
1001+,Gebze Technical University,10.7–22.1,21.0,14.1,19.4,36.7,27.5
1001+,Istanbul Medipol University,10.7–22.1,12.5,9.3,10.8,35.9,20.9
1001+,Izmir Institute of Technology,10.7–22.1,19.4,11.0,29.4,38.9,30.4
1001+,Marmara University,10.7–22.1,21.3,8.9,19.4,34.6,22.9
1001+,Ondokuz Mayis University,10.7–22.1,15.5,8.9,6.7,38.4,22.1
1001+,Selçuk University,10.7–22.1,15.5,8.5,17.7,34.7,19.8
1001+,Süleyman Demirel University,10.7–22.1,11.2,8.4,11.5,34.5,17.6
1001+,TOBB University of Economics and Technology,10.7–22.1,15.7,11.1,23.4,35.3,24.9
1001+,Tokat Gaziosmanpaşa University,10.7–22.1,13.1,7.7,17.8,34.6,16.6
1001+,Yeditepe University,10.7–22.1,18.8,12.2,11.9,68.0,19.6
1001+,Yildiz Technical University,10.7–22.1,15.4,12.9,23.0,45.6,21.1
